Sl,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Cases,Total Cases/1M Pop,Deaths/1M Pop,Total Tests,Tests/1M Pop,Population
157,Mongolia,136,+1, ,,21,115,2,42,,"10,318","3,154", 
158,Yemen,128,+6,20 ,+2,1,107,,4,0.7,120,4, 
159,Bermuda,123,,9 ,,73,41,2,"1,974",144,"5,017","80,523", 
160,Cambodia,122,, ,,122,0,1,7,,"15,152",908, 
161,Guyana,117,,10 ,,43,64,2,149,13,"1,089","1,385", 
162,Trinidad and Tobago,116,,8 ,,107,1,,83,6,"2,670","1,909", 
163,Aruba,101,,3 ,,93,5,4,946,28,"1,937","18,152", 
164,Bahamas,96,,11 ,,42,43,1,244,28,"1,794","4,568", 
165,Monaco,96,,4 ,,87,5,1,"2,448",102,,, 
166,Cayman Islands,94,,1 ,,55,38,,"1,432",15,"5,900","89,905", 
167,Barbados,88,+2,7 ,,68,13,4,306,24,"3,924","13,657", 
168,Liechtenstein,82,,1 ,,55,26,,"2,151",26,900,"23,613", 
169,Sint Maarten,77,,15 ,,54,8,7,"1,798",350,414,"9,670", 
170,Libya,65,,3 ,,35,27,,9,0.4,"3,633",530, 
171,Malawi,65,,3 ,,24,38,1,3,0.2,"1,762",92, 
172,Mauritania,62,+22,4 ,,7,51,,13,0.9,"2,015",435, 
173,French Polynesia,60,, ,,59,1,,214,,"3,216","11,457", 
174,Syria,58,+7,3 ,,36,19,,3,0.2,,, 
175,Angola,48,,2 ,,17,29,,1,0.06,"6,136",187, 
176,Macao,45,, ,,43,2,1,69,,,, 
177,Zimbabwe,44,+2,4 ,,17,23,,3,0.3,"27,059","1,824", 
178,Saint Martin,39,,3 ,,30,6,1,"1,011",78,,, 
179,Eritrea,39,, ,,39,0,,11,,,, 
180,Nicaragua,25,,8 ,,7,10,,4,1,,, 
181,Antigua and Barbuda,25,,3 ,,19,3,1,256,31,183,"1,871", 
182,Botswana,25,+1,1 ,,17,7,,11,0.4,"11,495","4,901", 
183,Timor-Leste,24,, ,,24,0,,18,,738,561, 
184,Burundi,23,+8,1 ,,15,7,,2,0.08,284,24, 
185,Gambia,23,,1 ,,12,10,,10,0.4,"1,341",557, 
186,Grenada,22,, ,,14,8,4,196,,"2,419","21,510", 
187,Bhutan,21,, ,,5,16,,27,,"13,701","17,781", 
188,Laos,19,, ,,14,5,,3,,"4,451",613,  
189,Belize,18,,2 ,,16,0,,45,5,"1,043","2,629", 
190,Fiji,18,, ,,15,3,,20,,"1,300","1,451", 
191,New Caledonia,18,, ,,18,0,,63,,"5,454","19,126", 
192,Saint Lucia,18,, ,,18,0,,98,,786,"4,283", 
193,St. Vincent Grenadines,17,, ,,14,3,,153,,155,"1,398", 
194,Curaçao,16,,1 ,,14,1,,98,6,389,"2,372", 
195,Dominica,16,, ,,15,1,,222,,420,"5,836", 
196,Namibia,16,, ,,13,3,,6,,"2,074",818, 
197,Saint Kitts and Nevis,15,, ,,14,1,,282,,327,"6,152", 
198,Falkland Islands,13,, ,,13,0,,"3,751",,402,"115,984", 
199,Turks and Caicos,12,,1 ,,10,1,,310,26,109,"2,820", 
200,Vatican City,12,, ,,2,10,,"14,981",,,, 
201,Comoros,11,,1 ,,3,7,,13,1,,, 
202,Montserrat,11,,1 ,,10,0,,"2,204",200,36,"7,212", 
203,Greenland,11,, ,,11,0,,194,,"1,629","28,701", 
204,Seychelles,11,, ,,10,1,,112,,,, 
205,Suriname,10,,1 ,,9,0,,17,2,404,689, 
206,,9,,2 ,,,7,,,,,, 
207,British Virgin Islands,8,,1 ,,6,1,,265,33,167,"5,529", 
208,Papua New Guinea,8,, ,,8,0,,0.9,,"2,402",269, 
209,Caribbean Netherlands,6,, ,,6,0,,229,,357,"13,630", 
210,St. Barth,6,, ,,6,0,,608,,,, 
211,Western Sahara,6,, ,,6,0,,10,,,, 
212,Anguilla,3,, ,,3,0,,200,,,, 
213,Lesotho,1,, ,,,1,,0.5,,,, 
214,Saint Pierre Miquelon,1,, ,,1,0,,173,,,, 
215,China,"82,947",+6,"4,633 ",,"78,227",87,10,58,3,,, 
